,Periodo,Tienda,Nombre_Producto,Temporada,Cantidad
27189,2019-06-01,3699,PUNTO MANGA LARGA MUJER,PV,1.0
27195,2019-06-01,3751,BOLSO BANDOLERA MUJER,PV,1.0
27197,2019-06-01,3751,CAMISA MANGA LARGA MUJER,PV,1.0
27198,2019-06-01,3751,CAMISETA MUJER,PV,10.0
27200,2019-06-01,3751,PANTALON MUJER,PV,5.0
27203,2019-06-01,3751,PUNTO MANGA LARGA MUJER,PV,2.0
27209,2019-06-01,3761,BOLSO BANDOLERA MUJER,PV,2.0
27210,2019-06-01,3761,CAMISA MANGA LARGA MUJER,PV,2.0
27211,2019-06-01,3761,CAMISETA MUJER,PV,17.0
27216,2019-06-01,3761,PANTALON MUJER,PV,6.0
27218,2019-06-01,3761,PUNTO MANGA LARGA MUJER,PV,1.0
27221,2019-06-01,3781,PANTALON MUJER,PV,-1.0
27224,2019-06-01,4401,BOLSO BANDOLERA MUJER,PV,6.0
27227,2019-06-01,4401,CAMISA MANGA LARGA MUJER,PV,8.0
27228,2019-06-01,4401,CAMISETA MUJER,PV,45.0
27234,2019-06-01,4401,PANTALON MUJER,PV,23.0
27238,2019-06-01,4401,PUNTO MANGA LARGA MUJER,PV,4.0
27243,2019-06-01,4811,BOLSO BANDOLERA MUJER,PV,1.0
27244,2019-06-01,4811,CAMISA MANGA LARGA MUJER,PV,0.0
27245,2019-06-01,4811,CAMISETA MUJER,PV,21.0
27248,2019-06-01,4811,PANTALON MUJER,PV,4.0
27252,2019-06-01,4811,PUNTO MANGA LARGA MUJER,PV,5.0
27258,2019-06-01,4815,CAMISA HOMBRE,PV,0.0
27261,2019-06-01,4815,PANTALON HOMBRE,PV,1.0
27267,2019-06-01,4891,BOLSO BANDOLERA MUJER,PV,3.0
27270,2019-06-01,4891,CAMISA MANGA LARGA MUJER,PV,1.0
27271,2019-06-01,4891,CAMISETA MUJER,PV,20.0
27278,2019-06-01,4891,PANTALON MUJER,PV,13.0
27283,2019-06-01,4891,PUNTO MANGA LARGA MUJER,PV,8.0
27292,2019-06-01,4991,BOLSO BANDOLERA MUJER,PV,4.0
27295,2019-06-01,4991,CAMISA MANGA LARGA MUJER,PV,8.0
27296,2019-06-01,4991,CAMISETA MUJER,PV,34.0
27306,2019-06-01,4991,PANTALON MUJER,PV,32.0
27311,2019-06-01,4991,PUNTO MANGA LARGA MUJER,PV,14.0
27319,2019-06-01,4995,CAMISA HOMBRE,PV,67.0
27324,2019-06-01,4995,PANTALON HOMBRE,PV,30.0
27333,2019-06-01,5679,CAMISA HOMBRE,PV,3.0
27334,2019-06-01,5679,CAMISETA MUJER,PV,1.0
27339,2019-06-01,5679,PANTALON MUJER,PV,3.0
27344,2019-06-01,5679,PUNTO MANGA LARGA MUJER,PV,3.0
27350,2019-06-01,6071,BOLSO BANDOLERA MUJER,PV,1.0
27353,2019-06-01,6071,CAMISA MANGA LARGA MUJER,PV,10.0
27354,2019-06-01,6071,CAMISETA MUJER,PV,37.0
27361,2019-06-01,6071,PANTALON MUJER,PV,25.0
27365,2019-06-01,6071,PUNTO MANGA LARGA MUJER,PV,13.0
27373,2019-06-01,6075,CAMISA HOMBRE,PV,10.0
27378,2019-06-01,6075,PANTALON HOMBRE,PV,11.0
27384,2019-06-01,6161,BOLSO BANDOLERA MUJER,PV,-1.0
27386,2019-06-01,6161,CAMISA MANGA LARGA MUJER,PV,1.0
27387,2019-06-01,6161,CAMISETA MUJER,PV,17.0
27390,2019-06-01,6161,PANTALON MUJER,PV,9.0
27394,2019-06-01,6161,PUNTO MANGA LARGA MUJER,PV,3.0
27400,2019-06-01,6471,BOLSO BANDOLERA MUJER,PV,1.0
27403,2019-06-01,6471,CAMISA MANGA LARGA MUJER,PV,16.0
27404,2019-06-01,6471,CAMISETA MUJER,PV,47.0
27410,2019-06-01,6471,PANTALON MUJER,PV,25.0
27415,2019-06-01,6471,PUNTO MANGA LARGA MUJER,PV,7.0
27424,2019-06-01,6771,BOLSO BANDOLERA MUJER,PV,3.0
27427,2019-06-01,6771,CAMISA MANGA LARGA MUJER,PV,0.0
27428,2019-06-01,6771,CAMISETA MUJER,PV,49.0
27431,2019-06-01,6771,PANTALON MUJER,PV,4.0
27434,2019-06-01,6771,PUNTO MANGA LARGA MUJER,PV,4.0
27440,2019-06-01,6775,CAMISA HOMBRE,PV,55.0
27445,2019-06-01,6775,PANTALON HOMBRE,PV,19.0
27454,2019-06-01,6831,BOLSO BANDOLERA MUJER,PV,6.0
27457,2019-06-01,6831,CAMISA MANGA LARGA MUJER,PV,19.0
27458,2019-06-01,6831,CAMISETA MUJER,PV,66.0
27463,2019-06-01,6831,PANTALON MUJER,PV,29.0
27468,2019-06-01,6831,PUNTO MANGA LARGA MUJER,PV,22.0
27474,2019-06-01,6835,CAMISA HOMBRE,PV,55.0
27479,2019-06-01,6835,PANTALON HOMBRE,PV,19.0
27487,2019-06-01,6931,BOLSO BANDOLERA MUJER,PV,4.0
27489,2019-06-01,6931,CAMISA MANGA LARGA MUJER,PV,3.0
27490,2019-06-01,6931,CAMISETA MUJER,PV,24.0
27492,2019-06-01,6931,PANTALON MUJER,PV,6.0
27496,2019-06-01,6931,PUNTO MANGA LARGA MUJER,PV,3.0
27502,2019-06-01,6935,CAMISA HOMBRE,PV,8.0
27504,2019-06-01,6935,PANTALON HOMBRE,PV,6.0
27510,2019-06-01,6951,BOLSO BANDOLERA MUJER,PV,2.0
27514,2019-06-01,6951,CAMISA MANGA LARGA MUJER,PV,14.0
27515,2019-06-01,6951,CAMISETA MUJER,PV,33.0
27524,2019-06-01,6951,PANTALON MUJER,PV,32.0
27529,2019-06-01,6951,PUNTO MANGA LARGA MUJER,PV,15.0
27537,2019-06-01,6955,CAMISA HOMBRE,PV,30.0
27541,2019-06-01,6955,PANTALON HOMBRE,PV,17.0
27549,2019-06-01,6961,BOLSO BANDOLERA MUJER,PV,1.0
27551,2019-06-01,6961,CAMISA MANGA LARGA MUJER,PV,20.0
27552,2019-06-01,6961,CAMISETA MUJER,PV,66.0
27561,2019-06-01,6961,PANTALON MUJER,PV,31.0
27565,2019-06-01,6961,PUNTO MANGA LARGA MUJER,PV,17.0
27572,2019-06-01,6965,CAMISA HOMBRE,PV,42.0
27577,2019-06-01,6965,PANTALON HOMBRE,PV,20.0
27583,2019-06-01,6966,BOLSO BANDOLERA MUJER,PV,24.0
27596,2019-06-01,6971,BOLSO BANDOLERA MUJER,PV,2.0
27599,2019-06-01,6971,CAMISA MANGA LARGA MUJER,PV,18.0
27600,2019-06-01,6971,CAMISETA MUJER,PV,68.0
27609,2019-06-01,6971,PANTALON MUJER,PV,25.0
27614,2019-06-01,6971,PUNTO MANGA LARGA MUJER,PV,14.0
27620,2019-06-01,6981,BOLSO BANDOLERA MUJER,PV,1.0
27622,2019-06-01,6981,CAMISA MANGA LARGA MUJER,PV,2.0
27623,2019-06-01,6981,CAMISETA MUJER,PV,16.0
27624,2019-06-01,6981,PANTALON MUJER,PV,4.0
27629,2019-06-01,6981,PUNTO MANGA LARGA MUJER,PV,5.0
27637,2019-06-01,7509,CAMISA HOMBRE,PV,1.0
27638,2019-06-01,7509,CAMISA MANGA LARGA MUJER,PV,1.0
27639,2019-06-01,7509,CAMISETA MUJER,PV,4.0
27644,2019-06-01,7509,PANTALON HOMBRE,PV,1.0
27645,2019-06-01,7509,PANTALON MUJER,PV,2.0
27651,2019-06-01,7509,PUNTO MANGA LARGA MUJER,PV,2.0
27657,2019-06-01,7809,CAMISA HOMBRE,PV,4.0
27658,2019-06-01,7809,CAMISA MANGA LARGA MUJER,PV,5.0
27659,2019-06-01,7809,CAMISETA MUJER,PV,2.0
27664,2019-06-01,7809,PANTALON HOMBRE,PV,2.0
27665,2019-06-01,7809,PANTALON MUJER,PV,1.0
27675,2019-06-01,7889,BOLSO BANDOLERA MUJER,PV,1.0
27677,2019-06-01,7889,CAMISA HOMBRE,PV,10.0
27678,2019-06-01,7889,CAMISA MANGA LARGA MUJER,PV,3.0
27679,2019-06-01,7889,CAMISETA MUJER,PV,6.0
27685,2019-06-01,7889,PANTALON HOMBRE,PV,4.0
27686,2019-06-01,7889,PANTALON MUJER,PV,7.0
27691,2019-06-01,7889,PUNTO MANGA LARGA MUJER,PV,4.0
27696,2019-06-01,8101,BOLSO BANDOLERA MUJER,PV,2.0
27699,2019-06-01,8101,CAMISA MANGA LARGA MUJER,PV,14.0
27700,2019-06-01,8101,CAMISETA MUJER,PV,37.0
27708,2019-06-01,8101,PANTALON MUJER,PV,20.0
27713,2019-06-01,8101,PUNTO MANGA LARGA MUJER,PV,8.0
27721,2019-06-01,8105,CAMISA HOMBRE,PV,41.0
27725,2019-06-01,8105,PANTALON HOMBRE,PV,11.0
27732,2019-06-01,8131,BOLSO BANDOLERA MUJER,PV,1.0
27735,2019-06-01,8131,CAMISA MANGA LARGA MUJER,PV,4.0
27736,2019-06-01,8131,CAMISETA MUJER,PV,39.0
27743,2019-06-01,8131,PANTALON MUJER,PV,17.0
27747,2019-06-01,8131,PUNTO MANGA LARGA MUJER,PV,4.0
27754,2019-06-01,8141,BOLSO BANDOLERA MUJER,PV,11.0
27757,2019-06-01,8141,CAMISA MANGA LARGA MUJER,PV,18.0
27758,2019-06-01,8141,CAMISETA MUJER,PV,78.0
27767,2019-06-01,8141,PANTALON MUJER,PV,51.0
27772,2019-06-01,8141,PUNTO MANGA LARGA MUJER,PV,14.0
27779,2019-06-01,8145,CAMISA HOMBRE,PV,64.0
27784,2019-06-01,8145,PANTALON HOMBRE,PV,37.0
27792,2019-06-01,8641,BOLSO BANDOLERA MUJER,PV,1.0
27794,2019-06-01,8641,CAMISA MANGA LARGA MUJER,PV,5.0
27795,2019-06-01,8641,CAMISETA MUJER,PV,34.0
27803,2019-06-01,8641,PANTALON MUJER,PV,21.0
27805,2019-06-01,8641,PUNTO MANGA LARGA MUJER,PV,3.0
27810,2019-06-01,8661,BOLSO BANDOLERA MUJER,PV,1.0
27811,2019-06-01,8661,CAMISA MANGA LARGA MUJER,PV,0.0
27812,2019-06-01,8661,CAMISETA MUJER,PV,28.0
27815,2019-06-01,8661,PANTALON MUJER,PV,2.0
27818,2019-06-01,8661,PUNTO MANGA LARGA MUJER,PV,5.0
27824,2019-06-01,9001,BOLSO BANDOLERA MUJER,PV,4.0
27827,2019-06-01,9001,CAMISA MANGA LARGA MUJER,PV,14.0
27828,2019-06-01,9001,CAMISETA MUJER,PV,56.0
27834,2019-06-01,9001,PANTALON MUJER,PV,20.0
27839,2019-06-01,9001,PUNTO MANGA LARGA MUJER,PV,6.0
27847,2019-06-01,9005,CAMISA HOMBRE,PV,49.0
27852,2019-06-01,9005,PANTALON HOMBRE,PV,28.0
27863,2019-06-01,9061,BOLSO BANDOLERA MUJER,PV,7.0
27865,2019-06-01,9061,CAMISA MANGA LARGA MUJER,PV,24.0
27866,2019-06-01,9061,CAMISETA MUJER,PV,44.0
27875,2019-06-01,9061,PANTALON MUJER,PV,21.0
27880,2019-06-01,9061,PUNTO MANGA LARGA MUJER,PV,26.0
27888,2019-06-01,9101,BOLSO BANDOLERA MUJER,PV,0.0
27890,2019-06-01,9101,CAMISA MANGA LARGA MUJER,PV,15.0
27891,2019-06-01,9101,CAMISETA MUJER,PV,40.0
27898,2019-06-01,9101,PANTALON MUJER,PV,22.0
27903,2019-06-01,9101,PUNTO MANGA LARGA MUJER,PV,7.0
27911,2019-06-01,9111,BOLSO BANDOLERA MUJER,PV,4.0
27915,2019-06-01,9111,CAMISA MANGA LARGA MUJER,PV,7.0
27916,2019-06-01,9111,CAMISETA MUJER,PV,51.0
27923,2019-06-01,9111,PANTALON MUJER,PV,22.0
27927,2019-06-01,9111,PUNTO MANGA LARGA MUJER,PV,6.0
27933,2019-06-01,9121,BOLSO BANDOLERA MUJER,PV,3.0
27935,2019-06-01,9121,CAMISA MANGA LARGA MUJER,PV,6.0
27936,2019-06-01,9121,CAMISETA MUJER,PV,18.0
27939,2019-06-01,9121,PANTALON MUJER,PV,5.0
27941,2019-06-01,9121,PUNTO MANGA LARGA MUJER,PV,0.0
27946,2019-06-01,9131,BOLSO BANDOLERA MUJER,PV,4.0
27949,2019-06-01,9131,CAMISA MANGA LARGA MUJER,PV,11.0
27950,2019-06-01,9131,CAMISETA MUJER,PV,49.0
27956,2019-06-01,9131,PANTALON MUJER,PV,18.0
27960,2019-06-01,9131,PUNTO MANGA LARGA MUJER,PV,20.0
27968,2019-06-01,9135,CAMISA HOMBRE,PV,52.0
27974,2019-06-01,9135,PANTALON HOMBRE,PV,15.0
27982,2019-06-01,9151,BOLSO BANDOLERA MUJER,PV,6.0
27985,2019-06-01,9151,CAMISA MANGA LARGA MUJER,PV,17.0
27986,2019-06-01,9151,CAMISETA MUJER,PV,70.0
27994,2019-06-01,9151,PANTALON MUJER,PV,24.0
27999,2019-06-01,9151,PUNTO MANGA LARGA MUJER,PV,5.0
28006,2019-06-01,9155,CAMISA HOMBRE,PV,100.0
28013,2019-06-01,9155,PANTALON HOMBRE,PV,40.0
28020,2019-06-01,9161,CAMISA MANGA LARGA MUJER,PV,0.0
28021,2019-06-01,9161,CAMISETA MUJER,PV,11.0
28023,2019-06-01,9161,PANTALON MUJER,PV,4.0
28025,2019-06-01,9161,PUNTO MANGA LARGA MUJER,PV,3.0
28029,2019-06-01,9165,CAMISA HOMBRE,PV,-2.0
28034,2019-06-01,9191,BOLSO BANDOLERA MUJER,PV,4.0
28038,2019-06-01,9191,CAMISA MANGA LARGA MUJER,PV,11.0
28039,2019-06-01,9191,CAMISETA MUJER,PV,40.0
28046,2019-06-01,9191,PANTALON MUJER,PV,22.0
28051,2019-06-01,9191,PUNTO MANGA LARGA MUJER,PV,10.0
28056,2019-06-01,9221,BOLSO BANDOLERA MUJER,PV,2.0
28057,2019-06-01,9221,CAMISA MANGA LARGA MUJER,PV,1.0
28058,2019-06-01,9221,CAMISETA MUJER,PV,9.0
28062,2019-06-01,9221,PANTALON MUJER,PV,8.0
28065,2019-06-01,9221,PUNTO MANGA LARGA MUJER,PV,6.0
28073,2019-06-01,9231,BOLSO BANDOLERA MUJER,PV,5.0
28076,2019-06-01,9231,CAMISA MANGA LARGA MUJER,PV,13.0
28077,2019-06-01,9231,CAMISETA MUJER,PV,40.0
28082,2019-06-01,9231,PANTALON MUJER,PV,14.0
28087,2019-06-01,9231,PUNTO MANGA LARGA MUJER,PV,11.0
28096,2019-06-01,9411,BOLSO BANDOLERA MUJER,PV,6.0
28098,2019-06-01,9411,CAMISA MANGA LARGA MUJER,PV,37.0
28099,2019-06-01,9411,CAMISETA MUJER,PV,79.0
28108,2019-06-01,9411,PANTALON MUJER,PV,53.0
28113,2019-06-01,9411,PUNTO MANGA LARGA MUJER,PV,28.0
28120,2019-06-01,9415,CAMISA HOMBRE,PV,56.0
28126,2019-06-01,9415,PANTALON HOMBRE,PV,32.0
28135,2019-06-01,9451,CAMISA MANGA LARGA MUJER,PV,5.0
28136,2019-06-01,9451,CAMISETA MUJER,PV,11.0
28140,2019-06-01,9451,PANTALON MUJER,PV,4.0
28144,2019-06-01,9451,PUNTO MANGA LARGA MUJER,PV,11.0
28150,2019-06-01,9481,BOLSO BANDOLERA MUJER,PV,2.0
28153,2019-06-01,9481,CAMISA MANGA LARGA MUJER,PV,6.0
28154,2019-06-01,9481,CAMISETA MUJER,PV,30.0
28158,2019-06-01,9481,PANTALON MUJER,PV,6.0
28161,2019-06-01,9481,PUNTO MANGA LARGA MUJER,PV,3.0
28167,2019-06-01,9485,CAMISA HOMBRE,PV,2.0
28169,2019-06-01,9485,PANTALON HOMBRE,PV,3.0
28177,2019-06-01,9701,BOLSO BANDOLERA MUJER,PV,3.0
28180,2019-06-01,9701,CAMISA MANGA LARGA MUJER,PV,8.0
28181,2019-06-01,9701,CAMISETA MUJER,PV,21.0
28189,2019-06-01,9701,PANTALON MUJER,PV,5.0
28192,2019-06-01,9701,PUNTO MANGA LARGA MUJER,PV,2.0
28200,2019-06-01,9751,BOLSO BANDOLERA MUJER,PV,5.0
28203,2019-06-01,9751,CAMISA MANGA LARGA MUJER,PV,14.0
28204,2019-06-01,9751,CAMISETA MUJER,PV,59.0
28213,2019-06-01,9751,PANTALON MUJER,PV,22.0
28217,2019-06-01,9751,PUNTO MANGA LARGA MUJER,PV,15.0
28225,2019-06-01,9755,CAMISA HOMBRE,PV,70.0
28232,2019-06-01,9755,PANTALON HOMBRE,PV,42.0
28241,2019-06-01,9831,BOLSO BANDOLERA MUJER,PV,1.0
28244,2019-06-01,9831,CAMISA MANGA LARGA MUJER,PV,9.0
28245,2019-06-01,9831,CAMISETA MUJER,PV,31.0
28251,2019-06-01,9831,PANTALON MUJER,PV,7.0
28255,2019-06-01,9831,PUNTO MANGA LARGA MUJER,PV,11.0
28261,2019-06-01,9835,CAMISA HOMBRE,PV,12.0
28265,2019-06-01,9835,PANTALON HOMBRE,PV,13.0
28272,2019-06-01,9891,BOLSO BANDOLERA MUJER,PV,1.0
28273,2019-06-01,9891,CAMISA MANGA LARGA MUJER,PV,9.0
28274,2019-06-01,9891,CAMISETA MUJER,PV,28.0
28278,2019-06-01,9891,PANTALON MUJER,PV,4.0
28280,2019-06-01,9891,PUNTO MANGA LARGA MUJER,PV,4.0
28286,2019-06-01,9941,BOLSO BANDOLERA MUJER,PV,1.0
28288,2019-06-01,9941,CAMISETA MUJER,PV,21.0
28291,2019-06-01,9941,PANTALON MUJER,PV,4.0
28294,2019-06-01,9941,PUNTO MANGA LARGA MUJER,PV,4.0
28301,2019-06-01,9951,BOLSO BANDOLERA MUJER,PV,4.0
28304,2019-06-01,9951,CAMISA MANGA LARGA MUJER,PV,5.0
28305,2019-06-01,9951,CAMISETA MUJER,PV,43.0
28313,2019-06-01,9951,PANTALON MUJER,PV,27.0
28318,2019-06-01,9951,PUNTO MANGA LARGA MUJER,PV,14.0
28323,2019-06-01,9955,CAMISA HOMBRE,PV,35.0
28327,2019-06-01,9955,PANTALON HOMBRE,PV,7.0
28335,2019-06-01,10001,BOLSO BANDOLERA MUJER,PV,11.0
28338,2019-06-01,10001,CAMISA HOMBRE,PV,11.0
28339,2019-06-01,10001,CAMISA MANGA LARGA MUJER,PV,4.0
28340,2019-06-01,10001,CAMISETA MUJER,PV,18.0
28352,2019-06-01,10001,PANTALON HOMBRE,PV,8.0
28353,2019-06-01,10001,PANTALON MUJER,PV,14.0
28359,2019-06-01,10001,PUNTO MANGA LARGA MUJER,PV,10.0
28372,2019-06-01,10304,BOLSO BANDOLERA MUJER,PV,15.0
28376,2019-06-01,10304,CAMISA HOMBRE,PV,24.0
28377,2019-06-01,10304,CAMISA MANGA LARGA MUJER,PV,7.0
28378,2019-06-01,10304,CAMISETA MUJER,PV,83.0
28391,2019-06-01,10304,PANTALON HOMBRE,PV,13.0
28392,2019-06-01,10304,PANTALON MUJER,PV,25.0
28399,2019-06-01,10304,PUNTO MANGA LARGA MUJER,PV,7.0
28411,2019-06-01,11203,BOLSO BANDOLERA MUJER,PV,4.0
28414,2019-06-01,11203,CAMISA HOMBRE,PV,19.0
28415,2019-06-01,11203,CAMISA MANGA LARGA MUJER,PV,9.0
28416,2019-06-01,11203,CAMISETA MUJER,PV,38.0
28427,2019-06-01,11203,PANTALON HOMBRE,PV,15.0
28428,2019-06-01,11203,PANTALON MUJER,PV,28.0
28435,2019-06-01,11203,PUNTO MANGA LARGA MUJER,PV,5.0
28445,2019-06-01,11302,BOLSO BANDOLERA MUJER,PV,5.0
28448,2019-06-01,11302,CAMISA HOMBRE,PV,1.0
28449,2019-06-01,11302,CAMISA MANGA LARGA MUJER,PV,4.0
28450,2019-06-01,11302,CAMISETA MUJER,PV,14.0
28458,2019-06-01,11302,PANTALON HOMBRE,PV,1.0
28459,2019-06-01,11302,PANTALON MUJER,PV,13.0
28464,2019-06-01,11302,PUNTO MANGA LARGA MUJER,PV,2.0
28471,2019-06-01,11802,BOLSO BANDOLERA MUJER,PV,6.0
28473,2019-06-01,11802,CAMISA MANGA LARGA MUJER,PV,9.0
28474,2019-06-01,11802,CAMISETA MUJER,PV,48.0
28483,2019-06-01,11802,PANTALON HOMBRE,PV,0.0
28484,2019-06-01,11802,PANTALON MUJER,PV,15.0
28487,2019-06-01,11802,PUNTO MANGA LARGA MUJER,PV,9.0
28502,2019-06-01,12702,BOLSO BANDOLERA MUJER,PV,8.0
28507,2019-06-01,12702,CAMISA HOMBRE,PV,33.0
28508,2019-06-01,12702,CAMISA HOMBRE,NA,3.0
28509,2019-06-01,12702,CAMISA MANGA LARGA MUJER,PV,22.0
28510,2019-06-01,12702,CAMISETA MUJER,PV,69.0
28511,2019-06-01,12702,CAMISETA MUJER,NA,1.0
28528,2019-06-01,12702,PANTALON HOMBRE,PV,21.0
28529,2019-06-01,12702,PANTALON MUJER,PV,48.0
28530,2019-06-01,12702,PANTALON MUJER,NA,1.0
28541,2019-06-01,12702,PUNTO MANGA LARGA MUJER,PV,21.0
28555,2019-06-01,13002,BOLSO BANDOLERA MUJER,PV,22.0
28558,2019-06-01,13002,CAMISA HOMBRE,PV,19.0
28559,2019-06-01,13002,CAMISA MANGA LARGA MUJER,PV,8.0
28560,2019-06-01,13002,CAMISETA MUJER,PV,32.0
28571,2019-06-01,13002,PANTALON HOMBRE,PV,13.0
28572,2019-06-01,13002,PANTALON MUJER,PV,28.0
28579,2019-06-01,13002,PUNTO MANGA LARGA MUJER,PV,6.0
28592,2019-06-01,20306,CAMISA HOMBRE,PV,4.0
28593,2019-06-01,20306,CAMISA MANGA LARGA MUJER,PV,1.0
28594,2019-06-01,20306,CAMISETA MUJER,PV,3.0
28596,2019-06-01,20306,PANTALON HOMBRE,PV,4.0
28597,2019-06-01,20306,PANTALON MUJER,PV,4.0
28605,2019-06-01,20306,PUNTO MANGA LARGA MUJER,PV,1.0
28613,2019-06-01,20401,BOLSO BANDOLERA MUJER,PV,24.0
28617,2019-06-01,20401,CAMISA HOMBRE,PV,30.0
28618,2019-06-01,20401,CAMISA MANGA LARGA MUJER,PV,15.0
28619,2019-06-01,20401,CAMISETA MUJER,PV,97.0
28634,2019-06-01,20401,PANTALON HOMBRE,PV,17.0
28635,2019-06-01,20401,PANTALON MUJER,PV,40.0
28643,2019-06-01,20401,PUNTO MANGA LARGA MUJER,PV,14.0
28655,2019-06-01,20807,BOLSO BANDOLERA MUJER,PV,12.0
28659,2019-06-01,20807,CAMISA HOMBRE,PV,59.0
28660,2019-06-01,20807,CAMISA MANGA LARGA MUJER,PV,37.0
28661,2019-06-01,20807,CAMISETA MUJER,PV,79.0
28676,2019-06-01,20807,PANTALON HOMBRE,PV,26.0
28677,2019-06-01,20807,PANTALON MUJER,PV,59.0
28685,2019-06-01,20807,PUNTO MANGA LARGA MUJER,PV,26.0
28696,2019-06-01,20902,BOLSO BANDOLERA MUJER,PV,5.0
28700,2019-06-01,20902,CAMISA MANGA LARGA MUJER,PV,14.0
28701,2019-06-01,20902,CAMISETA MUJER,PV,44.0
28711,2019-06-01,20902,PANTALON HOMBRE,PV,2.0
28712,2019-06-01,20902,PANTALON MUJER,PV,48.0
28717,2019-06-01,20902,PUNTO MANGA LARGA MUJER,PV,12.0
28728,2019-06-01,21001,BOLSO BANDOLERA MUJER,PV,15.0
28732,2019-06-01,21001,CAMISA HOMBRE,PV,24.0
28733,2019-06-01,21001,CAMISA MANGA LARGA MUJER,PV,10.0
28734,2019-06-01,21001,CAMISETA MUJER,PV,67.0
28749,2019-06-01,21001,PANTALON HOMBRE,PV,13.0
28750,2019-06-01,21001,PANTALON MUJER,PV,45.0
28758,2019-06-01,21001,PUNTO MANGA LARGA MUJER,PV,10.0
28772,2019-06-01,21504,BOLSO BANDOLERA MUJER,PV,26.0
28777,2019-06-01,21504,CAMISA HOMBRE,PV,73.0
28778,2019-06-01,21504,CAMISA MANGA LARGA MUJER,PV,42.0
28779,2019-06-01,21504,CAMISETA MUJER,PV,95.0
28796,2019-06-01,21504,PANTALON HOMBRE,PV,42.0
28797,2019-06-01,21504,PANTALON MUJER,PV,92.0
28805,2019-06-01,21504,PUNTO MANGA LARGA MUJER,PV,33.0
28821,2019-06-01,21505,BOLSO BANDOLERA MUJER,PV,20.0
28826,2019-06-01,21505,CAMISA HOMBRE,PV,62.0
28827,2019-06-01,21505,CAMISA MANGA LARGA MUJER,PV,25.0
28828,2019-06-01,21505,CAMISETA MUJER,PV,74.0
28844,2019-06-01,21505,PANTALON HOMBRE,PV,38.0
28845,2019-06-01,21505,PANTALON MUJER,PV,60.0
28853,2019-06-01,21505,PUNTO MANGA LARGA MUJER,PV,30.0
28868,2019-06-01,21507,BOLSO BANDOLERA MUJER,PV,12.0
28872,2019-06-01,21507,CAMISA MANGA LARGA MUJER,PV,12.0
28873,2019-06-01,21507,CAMISETA MUJER,PV,37.0
28882,2019-06-01,21507,PANTALON MUJER,PV,14.0
28887,2019-06-01,21507,PUNTO MANGA LARGA MUJER,PV,12.0
28894,2019-06-01,22602,BOLSO BANDOLERA MUJER,PV,8.0
28898,2019-06-01,22602,CAMISA MANGA LARGA MUJER,PV,18.0
28899,2019-06-01,22602,CAMISETA MUJER,PV,63.0
28907,2019-06-01,22602,PANTALON MUJER,PV,48.0
28912,2019-06-01,22602,PUNTO MANGA LARGA MUJER,PV,15.0
28921,2019-06-01,22807,BOLSO BANDOLERA MUJER,PV,16.0
28925,2019-06-01,22807,CAMISA MANGA LARGA MUJER,PV,28.0
28926,2019-06-01,22807,CAMISETA MUJER,PV,56.0
28936,2019-06-01,22807,PANTALON MUJER,PV,81.0
28940,2019-06-01,22807,PUNTO MANGA LARGA MUJER,PV,20.0
28954,2019-06-01,22808,BOLSO BANDOLERA MUJER,PV,36.0
28958,2019-06-01,22808,CAMISA HOMBRE,PV,103.0
28959,2019-06-01,22808,CAMISA MANGA LARGA MUJER,PV,61.0
28960,2019-06-01,22808,CAMISETA MUJER,PV,106.0
28979,2019-06-01,22808,PANTALON HOMBRE,PV,59.0
28980,2019-06-01,22808,PANTALON MUJER,PV,133.0
28988,2019-06-01,22808,PUNTO MANGA LARGA MUJER,PV,37.0
29005,2019-06-01,23103,BOLSO BANDOLERA MUJER,PV,8.0
29008,2019-06-01,23103,CAMISA HOMBRE,PV,23.0
29009,2019-06-01,23103,CAMISA MANGA LARGA MUJER,PV,17.0
29010,2019-06-01,23103,CAMISETA MUJER,PV,56.0
29026,2019-06-01,23103,PANTALON HOMBRE,PV,16.0
29027,2019-06-01,23103,PANTALON MUJER,PV,54.0
29035,2019-06-01,23103,PUNTO MANGA LARGA MUJER,PV,18.0
29049,2019-06-01,23202,BOLSO BANDOLERA MUJER,PV,24.0
29053,2019-06-01,23202,CAMISA HOMBRE,PV,62.0
29054,2019-06-01,23202,CAMISA MANGA LARGA MUJER,PV,30.0
29055,2019-06-01,23202,CAMISETA MUJER,PV,81.0
29073,2019-06-01,23202,PANTALON HOMBRE,PV,34.0
29074,2019-06-01,23202,PANTALON MUJER,PV,78.0
29082,2019-06-01,23202,PUNTO MANGA LARGA MUJER,PV,31.0
29100,2019-06-01,23605,BOLSO BANDOLERA MUJER,PV,25.0
29105,2019-06-01,23605,CAMISA HOMBRE,PV,43.0
29106,2019-06-01,23605,CAMISA MANGA LARGA MUJER,PV,30.0
29107,2019-06-01,23605,CAMISETA MUJER,PV,91.0
29123,2019-06-01,23605,PANTALON HOMBRE,PV,22.0
29124,2019-06-01,23605,PANTALON MUJER,PV,55.0
29132,2019-06-01,23605,PUNTO MANGA LARGA MUJER,PV,22.0
29149,2019-06-01,23702,BOLSO BANDOLERA MUJER,PV,7.0
29153,2019-06-01,23702,CAMISA HOMBRE,PV,16.0
29154,2019-06-01,23702,CAMISA MANGA LARGA MUJER,PV,19.0
